REG;X1;X2;X3;X4;X5
Белгородская область;785254,1;143792;25064,9;97,9;1779,9
Брянская область;305258,9;68195;17342,5;96,4;704,3
Владимирская область;412942,7;70717;11855,5;94,5;4511,5
Воронежская область;868290,6;270992;21373,8;95,1;6436,1
Ивановская область;184807;23287;4897,6;97,6;642
Калужская область;415966,7;84445;16097,3;95,2;9283,7
Костромская область;166945,3;26430;5285,4;89,3;137,1
Курская область;387309,8;93659;12516,8;93,2;4948,7
Липецкая область;506340,5;127891;14966,6;97;352,3
Московская область;3780063,1;621176;75929,3;89,6;107311,1
Орловская область;215146,6;43596;7554,9;93;644,4
Рязанская область;360932;50893;9528,1;97,2;2026,2
Смоленская область;291483,4;58728;8339,9;97,6;1414,8
Тамбовская область;298791,1;105033;14701,1;93,6;1666,8
Тверская область;387524,9;93427;9780,4;89,1;4786,3
Тульская область;556772,8;112561;13373,6;90,9;5574,8
Ярославская область;511136,6;88363;9653,3;96,9;8720,7
г.Москва;15688281,4;1712239;483460,4;100;330199,1
Республика Карелия;251835,7;34700;6500,2;95,9;964,9
Республика Коми;575652,1;200261;9476,7;94,7;2390,5
Архангельская область;726004,8;169432;11412,1;92,6;1576,7
  в т.ч. Ненецкий авт. округ;258827,7;85703;3539,2;97;41,2
  Архангельская область без Ненецкого авт.округа;467177,1;83729;7872,9;92,1;1535,5
Вологодская область;508767,7;114155;11046,1;96,8;411,9
Калининградская область;417287,1;89462;43503,1;96,6;1293,5
Ленинградская область;963804,1;264213;26390,9;97,5;6335,3
Мурманская область;442609,6;85495;6945,7;95,7;2404,6
Новгородская область;252650,2;78742;6006,7;100;1694,7
Псковская область;151518,5;27272;8063,4;92,5;430,5
г.Санкт-Петербург;3824577,7;678642;120327,4;96,5;114470,8
Республика Адыгея;99495,6;19134;3134,2;96,3;225,2
Республика Калмыкия;71358,4;9139;1873,5;89;71,6
Республика Крым;346100,4;74795;47510,7;99,3;1410,9
Краснодарский край;2227575,6;435095;38140,2;89,8;5866,1
Астраханская область;420601,7;117999;4487,9;94,8;458,5
Волгоградская область;772624,2;183642;20260,7;86;3447,8
Ростовская область;1352321,9;294481;31654,9;87;13663,8
г.Севастополь;72789,6;18547;5380,4;62,6;653,1
Республика Дагестан;591849,8;199556;14013,2;91,8;929,7
Республика Ингушетия;52708,4;20632;1838,1;100;68,8
Кабардино-Балкарская Республика;138345,6;36235;5998,2;93,9;502,2
Карачаево-Черкесская Республика;75645,8;20555;4235,9;86,9;492,2
Республика Северная Осетия-Алания;128161,1;25533;2739,8;86,7;371,1
Чеченская Республика;178943,5;60543;9038;99,3;218,3
Ставропольский край;663211;122949;16549,6;98,4;1815,1
Республика Башкортостан;1410203,4;355109;33402,7;96,6;8854,4
Республика Марий Эл;166158,6;27265;5183,4;88,4;167,7
Республика Мордовия;215348,8;52629;11066,9;81,5;798,8
Республика Татарстан;2139809,5;636494;70187;97,2;12569,2
Удмуртская Республика;552303,5;87129;14001,1;89,9;1102,9
Чувашская Республика;275272,2;50140;8413,6;94,1;1528,7
Пермский край;1191441;239390;18788,7;94,5;14005,6
Кировская область;307058,7;57001;10126,1;92,7;1452,7
Нижегородская область;1261939,4;232010;31168,6;97,1;77751,7
Оренбургская область;823856,4;167279;15621,8;97,3;700,8
Пензенская область;366719,7;64945;10083,3;97;3793,6
Самарская область;1349094,9;256776;33222,5;82,4;11842,3
Саратовская область;668592,8;141337;11570,7;81,8;4387,7
Ульяновская область;333508,8;70576;8101,8;93,2;8778,9
Курганская область;197754,8;29254;6008,8;86,4;330,5
Свердловская область;2130909,8;328403;37088,2;96,4;29624
Тюменская область;6975211,9;2132094;49553,6;93,5;14117
   в т.ч. Ханты-Мансийский автономный округ-Югра;3492525,1;799253;33162,1;97;2800,4
Ямало-Ненецкий автономный округ;2453551,7;1093082;29606,5;94,6;136,2
 Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);1029135,2;239759;;89,1;11180,4
Челябинская область;1353119,5;198289;25119,8;91,7;19583,7
Республика Алтай;44897,9;12561;4023,6;97;91,6
Республика Тыва;59446,3;10640;6901,3;93,5;258,1
Республика Хакасия;207531,3;27237;2766,2;92,8;84,6
Алтайский край;513463,9;75285;3321,5;92,2;1731,3
Красноярский край;1899226;425932;18847,4;95,2;16939,8
Иркутская область;1194672,4;247954;7582,6;91,4;4042,9
Кемеровская область;1058430,4;165666;30091,1;89,7;1583,6
Новосибирская область;1148427,6;163059;21042,6;81,8;20230,4
Омская область;650308,7;93453;19698,8;87,3;5927,4
Томская область;510949,9;104385;23352,7;87,1;11787,9
Республика Бурятия;201614,7;33445;15509,9;87,4;931,1
Республика Саха (Якутия);916684,5;275576;11008,6;95,1;2605,9
Забайкальский край;301050,5;85702;27483,4;97;349,8
Камчатский край;201967,9;37298;18146,9;99,4;1156,7
Приморский край;776336,7;130500;19647,2;87,4;6476,2
Хабаровский край;648395,1;120091;14924,8;98,4;2488,5
Амурская область;270474,3;129816;8167,3;95,2;475,9
Магаданская область;156829,9;41798;4999,4;96,3;656,4
Сахалинская область;769248,7;240011;49499,1;92,2;1182,5
Еврейская автономная область;52747,9;12929;1725,2;92,7;
Чукотский автономный округ;68242,6;12757;10272,4;97,9;
